active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2024-01-11,30,8,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2339,10,22,2,6,8,9,0,2,8,1,0,4,3,20.2
True,2024-01-17,30,12,NEW YORK KNICKS,HOME,HOUSTON ROCKETS,WIN,2213,11,21,4,9,4,7,0,3,7,0,0,2,2,21.5
True,2024-01-18,41,10,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,2421,14,27,2,4,11,13,1,7,8,2,1,6,2,31.2
True,2024-01-20,38,22,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,2107,13,23,5,11,7,7,1,4,9,1,0,3,3,32.1
True,2024-01-23,30,7,NEW YORK KNICKS,AWAY,BROOKLYN NETS,WIN,2147,11,22,2,7,6,7,0,3,4,0,0,2,2,19.5
True,2024-01-25,21,24,NEW YORK KNICKS,HOME,DENVER NUGGETS,WIN,1593,7,10,1,2,6,6,0,1,4,0,0,2,0,17.9
True,2024-01-27,32,24,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,2296,12,22,4,8,4,5,0,5,8,1,1,0,2,29.0
True,2024-01-29,32,20,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,2054,13,24,2,6,4,5,0,4,7,1,0,2,1,24.7
True,2024-01-30,29,19,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,2281,10,23,2,6,7,8,0,3,9,0,1,0,2,23.6
True,2024-02-01,40,4,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2212,15,30,1,6,9,11,1,4,1,0,0,2,3,23.6
True,2024-02-03,36,-5,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,LOSS,2683,15,31,1,6,5,6,2,4,10,0,0,3,1,26.1
True,2024-02-06,27,-3,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,WIN,1875,11,21,1,4,4,5,0,3,8,3,0,2,1,23.4
True,2024-02-10,39,-7,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,2248,14,25,1,5,10,10,0,3,4,1,0,2,2,29.0
True,2024-02-12,27,-1,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,2328,10,25,2,6,5,8,0,4,7,0,0,5,4,11.8
True,2024-02-14,33,-2,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,2100,11,21,5,8,6,7,1,0,6,2,0,3,0,26.2
True,2024-02-22,21,20,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2363,5,18,0,4,11,11,0,2,12,2,1,7,2,14.3
True,2024-02-24,34,-12,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2254,12,25,4,9,6,6,1,2,9,1,0,4,0,25.9
True,2024-02-26,35,3,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,2376,11,26,3,11,10,11,0,1,12,2,0,4,3,26.3
True,2024-02-29,27,-14,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,2231,11,25,4,7,1,1,1,4,5,0,0,4,4,13.7
True,2024-03-03,0,-2,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,47,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2024-03-08,26,23,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1722,11,19,4,7,0,0,0,3,2,0,0,1,2,17.6
True,2024-03-10,19,2,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,1944,6,22,1,9,6,8,2,1,8,0,0,2,1,10.1
True,2024-03-12,20,24,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1624,7,12,4,8,2,3,0,4,9,1,0,1,0,21.5
True,2024-03-14,45,17,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2276,14,30,2,10,15,17,1,0,4,1,1,5,0,29.0
True,2024-03-16,42,5,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,WIN,2174,17,28,5,10,3,4,1,3,2,4,1,6,1,30.1
True,2024-03-18,34,13,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,WIN,2114,12,25,3,9,7,8,0,5,7,1,0,3,2,24.5
True,2024-03-21,26,-20,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,2044,11,23,2,7,2,3,0,2,9,0,0,0,1,20.4
True,2024-03-23,17,12,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,1969,7,24,3,4,0,0,1,3,8,1,0,1,1,9.8
True,2024-03-25,28,37,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1804,10,20,3,7,5,5,0,2,6,0,0,0,3,21.6
True,2024-03-27,26,27,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,1711,11,19,2,6,2,2,1,3,7,0,0,0,0,23.6
True,2024-03-29,61,20,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2599,25,47,5,13,6,6,1,3,6,1,0,1,2,43.1
True,2024-03-31,30,17,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,2091,11,25,4,11,4,8,0,2,7,1,0,3,3,17.6
True,2024-04-02,20,-9,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,2179,5,18,1,6,9,10,0,2,10,0,0,5,2,10.8
True,2024-04-04,35,22,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,2293,12,20,2,5,9,10,0,2,11,3,0,3,2,32.9
True,2024-04-05,35,-2,NEW YORK KNICKS,AWAY,CHICAGO BULLS,LOSS,2495,13,28,1,5,8,10,1,5,11,2,0,5,1,26.3
True,2024-04-07,43,11,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,2366,16,32,2,6,9,11,1,5,8,0,0,1,4,31.4
True,2024-04-09,45,9,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2546,13,24,7,12,12,12,0,3,8,1,0,1,0,39.9
True,2024-04-11,39,28,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,1802,15,23,6,11,3,5,0,2,4,0,0,2,2,28.7
True,2024-04-12,30,7,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,2192,10,25,3,7,7,7,0,1,11,1,0,0,2,24.7
True,2024-04-14,40,1,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,2471,14,30,1,4,11,12,2,6,7,0,0,4,1,27.9
