Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,32,2023-12-30,27-121,NYK,@,IND,L (-14),1,40:46,9,22,.409,4,8,.500,6,9,.667,0,1,1,6,0,1,4,3,28,15.0,-17
33,33,2024-01-01,27-123,NYK,,MIN,W (+6),1,40:40,5,23,.217,1,9,.111,5,5,1.000,0,4,4,14,1,0,2,4,16,10.3,+16
34,34,2024-01-03,27-125,NYK,,CHI,W (+16),1,38:19,13,22,.591,4,9,.444,1,1,1.000,0,3,3,13,0,0,4,3,31,25.6,+31
35,35,2024-01-05,27-127,NYK,@,PHI,W (+36),1,32:23,11,20,.550,4,9,.444,3,3,1.000,0,3,3,2,1,1,0,1,29,23.0,+14
36,36,2024-01-06,27-128,NYK,@,WAS,W (+16),1,34:56,10,18,.556,4,8,.500,9,9,1.000,0,3,3,8,0,0,2,2,33,28.1,+20
37,37,2024-01-09,27-131,NYK,,POR,W (+28),1,25:57,3,11,.273,1,7,.143,5,6,.833,1,2,3,7,0,0,0,0,12,11.3,+29
38,38,2024-01-11,27-133,NYK,@,DAL,L (-4),1,38:59,10,22,.455,2,6,.333,8,9,.889,0,2,2,8,1,0,4,3,30,20.2,+8
39,,2024-01-13,27-135,NYK,@,MEM,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2024-01-15,27-137,NYK,,ORL,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,39,2024-01-17,27-139,NYK,,HOU,W (+15),1,36:53,11,21,.524,4,9,.444,4,7,.571,0,3,3,7,0,0,2,2,30,21.5,+12
42,40,2024-01-18,27-140,NYK,,WAS,W (+4),1,40:21,14,27,.519,2,4,.500,11,13,.846,1,7,8,8,2,1,6,2,41,31.2,+10
43,41,2024-01-20,27-142,NYK,,TOR,W (+26),1,35:07,13,23,.565,5,11,.455,7,7,1.000,1,4,5,9,1,0,3,3,38,32.1,+22
44,42,2024-01-23,27-145,NYK,@,BRK,W (+5),1,35:47,11,22,.500,2,7,.286,6,7,.857,0,3,3,4,0,0,2,2,30,19.5,+7
