Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,,2024-02-27,27-180,NYK,,NOP,L (-23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
60,56,2024-02-29,27-182,NYK,,GSW,L (-11),1,37:11,11,25,.440,4,7,.571,1,1,1.000,1,4,5,5,0,0,4,4,27,13.7,-14
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,57,2024-03-03,27-185,NYK,@,CLE,W (+9),1,0:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
62,,2024-03-05,27-187,NYK,,ATL,L (-16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
63,58,2024-03-08,27-190,NYK,,ORL,W (+24),1,28:42,11,19,.579,4,7,.571,0,0,,0,3,3,2,0,0,1,2,26,17.6,+23
64,59,2024-03-10,27-192,NYK,,PHI,L (-6),1,32:24,6,22,.273,1,9,.111,6,8,.750,2,1,3,8,0,0,2,1,19,10.1,+2
65,60,2024-03-12,27-194,NYK,,PHI,W (+27),1,27:04,7,12,.583,4,8,.500,2,3,.667,0,4,4,9,1,0,1,0,20,21.5,+24
66,61,2024-03-14,27-196,NYK,@,POR,W (+12),1,37:56,14,30,.467,2,10,.200,15,17,.882,1,0,1,4,1,1,5,0,45,29.0,+17
67,62,2024-03-16,27-198,NYK,@,SAC,W (+7),1,36:14,17,28,.607,5,10,.500,3,4,.750,1,3,4,2,4,1,6,1,42,30.1,+5
68,63,2024-03-18,27-200,NYK,@,GSW,W (+7),1,35:14,12,25,.480,3,9,.333,7,8,.875,0,5,5,7,1,0,3,2,34,24.5,+13
69,64,2024-03-21,27-203,NYK,@,DEN,L (-13),1,34:04,11,23,.478,2,7,.286,2,3,.667,0,2,2,9,0,0,0,1,26,20.4,-20
70,65,2024-03-23,27-205,NYK,,BRK,W (+12),1,32:49,7,24,.292,3,4,.750,0,0,,1,3,4,8,1,0,1,1,17,9.8,+12
71,66,2024-03-25,27-207,NYK,,DET,W (+25),1,30:04,10,20,.500,3,7,.429,5,5,1.000,0,2,2,6,0,0,0,3,28,21.6,+37
72,67,2024-03-27,27-209,NYK,@,TOR,W (+44),1,28:31,11,19,.579,2,6,.333,2,2,1.000,1,3,4,7,0,0,0,0,26,23.6,+27
73,68,2024-03-29,27-211,NYK,@,SAS,L (-4),1,43:19,25,47,.532,5,13,.385,6,6,1.000,1,3,4,6,1,0,1,2,61,43.1,+20
74,69,2024-03-31,27-213,NYK,,OKC,L (-1),1,34:51,11,25,.440,4,11,.364,4,8,.500,0,2,2,7,1,0,3,3,30,17.6,+17
75,70,2024-04-02,27-215,NYK,@,MIA,L (-10),1,36:19,5,18,.278,1,6,.167,9,10,.900,0,2,2,10,0,0,5,2,20,10.8,-9
76,71,2024-04-04,27-217,NYK,,SAC,W (+11),1,38:13,12,20,.600,2,5,.400,9,10,.900,0,2,2,11,3,0,3,2,35,32.9,+22
77,72,2024-04-05,27-218,NYK,@,CHI,L (-8),1,41:35,13,28,.464,1,5,.200,8,10,.800,1,5,6,11,2,0,5,1,35,26.3,-2
78,73,2024-04-07,27-220,NYK,@,MIL,W (+13),1,39:26,16,32,.500,2,6,.333,9,11,.818,1,5,6,8,0,0,1,4,43,31.4,+11
79,74,2024-04-09,27-222,NYK,@,CHI,W (+11),1,42:26,13,24,.542,7,12,.583,12,12,1.000,0,3,3,8,1,0,1,0,45,39.9,+9
80,75,2024-04-11,27-224,NYK,@,BOS,W (+9),1,30:02,15,23,.652,6,11,.545,3,5,.600,0,2,2,4,0,0,2,2,39,28.7,+28
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,76,2024-04-12,27-225,NYK,,BRK,W (+4),1,36:32,10,25,.400,3,7,.429,7,7,1.000,0,1,1,11,1,0,0,2,30,24.7,+7
82,77,2024-04-14,27-227,NYK,,CHI,W (+1),1,41:11,14,30,.467,1,4,.250,11,12,.917,2,6,8,7,0,0,4,1,40,27.9,+1
